_id,en.name,en.address,en.location,map,website,latitude,longitude
-70,Himeji Municipal Zoo,"68 Honmachi, Himeji-shi, Hyogo Prefecture. ZIP:670-0012","Himeji, Hyōgo Prefecture",https://goo.gl/maps/Em6HbHWwLHC2,http://www.city.himeji.lg.jp/dobutuen/,34.8372111,134.6921642
-73,Edogawa City Natural Zoo,"3 Chome-2-１ Kitakasai, Edogawa-ku, Tōkyō-to 134-0081, Japan","Edogawa, Tokyo Prefecture, Japan",https://goo.gl/maps/tDgbZr73HuQ2,http://edogawa-kankyozaidan.jp/zoo/,35.6710531,139.8562134
-74,Urawa Children's Zoo,"Osaki, Midori-ku, Saitama, Saitama Prefecture 336-0974, Japan","Saitama, Saitama Prefecture, Japan",https://goo.gl/maps/g6ZCMfTFdrw,http://www.city.saitama.jp/004/001/003/001/p002130.html,35.8867828,139.701668
-79,Nasu World Monkey Park,"６１４６ Takakuko, Nasu, Nasu District, Tochigi Prefecture 325-0001, Japan","Nasu, Tochigi Prefecture, Japan",https://goo.gl/maps/wXxiP9TZrQG2,http://www.nasumonkey.com/,37.0353086,140.0307087
-62,Everland Zoological Gardens,"199 Everland-ro, Pogog-eup, Cheoin-gu, Yongin-si, Gyeonggi-do, South Korea","Yongin City, Gyeonggi Province, South Korea",https://goo.gl/maps/e4tvYMRSY7z,http://www.everland.com/,37.2939146,127.2003777
-78,Seoul Zoo,"Makgye-dong, Gwacheon-si, Gyeonggi-do, South Korea","Gyeonggi-do, South Korea",https://goo.gl/maps/HU9yotcVBXQ2,http://grandpark.seoul.go.kr,37.4215021,127.017742
-66,Chapultepec Zoo,"Col. San Miguel Chapultepec, 11850 Delegación Miguel Hidalgo, CDMX, Mexico","Mexico City, Mexico",https://goo.gl/maps/FcdpEYXAYB12,http://data.sedema.cdmx.gob.mx/zoo_chapultepec/,19.4232135,-99.1917143
-71,Aqua Zoo Friesland,"De Groene Ster 2, 8926 XE Leeuwarden, Netherlands","Leeuwarden, Friesland Province, Netherlands",https://goo.gl/maps/ZzXQeezpAo52,https://www.aquazoo.nl/,53.2151734,5.8807795
-72,Rotterdam Zoo,"Blijdorplaan 8, 3041 JG Rotterdam, Netherlands","Rotterdam, Netherlands",https://goo.gl/maps/yFbttoQZrP82,https://www.diergaardeblijdorp.nl/,51.9281613,4.4418373
-55,Taipei Zoo,"No. 30, Section 2, Xinguang Road, Wenshan District, Taipei City, Taiwan 116","Taipei City, Taiwan",https://goo.gl/maps/9vr6Usew49x,https://www.zoo.gov.taipei/Default.aspx,24.9971631,121.5829622
